code,category,long_description,short_description
KS   ,,Glucose monitor supply for diabetic beneficiary not treated with insulin,Glucose monitor supply
KT   ,,Beneficiary resides in a competitive bidding area and travels outside that competitive bidding area and receives a competitive bid item,Item from noncontract supply
KU   ,,Dmepos item subject to dmepos competitive bidding program number 3,Dmepos comp bid prgm no 3
KV   ,,Dmepos item subject to dmepos competitive bidding program that is furnished as part of a professional service,"Dmepos item, profession serv"
KW   ,,Dmepos item subject to dmepos competitive bidding program number 4,Dmepos comp bid prgm no 4
KX   ,,Requirements specified in the medical policy have been met,Documentation on file
KY   ,,Dmepos item subject to dmepos competitive bidding program number 5,Dmepos comp bid prgm no 5
KZ   ,,New coverage not implemented by managed care,New cov not implement by m+c
L1   ,,Provider attestation that the hospital laboratory test(s) is not packaged under the hospital opps,Separately payable lab test
LC   ,,Left circumflex coronary artery,Lft circum coronary artery
LD   ,,Left anterior descending coronary artery,Left ant des coronary artery
LL   ,,Lease/rental (use the 'll' modifier when dme equipment rental is to be applied against the purchase price),Lease/rental (appld to pur)
LM   ,,Left main coronary artery,Left main coronary artery
LR   ,,Laboratory round trip,Laboratory round trip
LS   ,,Fda-monitored intraocular lens implant,Fda-monitored iol implant
LT   ,,Left side (used to identify procedures performed on the left side of the body),Left side
M2   ,,Medicare secondary payer (msp),Medicare secondary payer
MS   ,,Six month maintenance and servicing fee for reasonable and necessary parts and labor which are not covered under any manufacturer or supplier warranty,6-mo maint/svc fee parts/lbr
NB   ,,"Nebulizer system, any type, fda-cleared for use with specific drug",Drug specific nebulizer
NR   ,,New when rented (use the 'nr' modifier when dme which was new at the time of rental is subsequently purchased),New when rented
NU   ,,New equipment,New equipment
P1   ,,A normal healthy patient,Normal healthy patient
P2   ,,A patient with mild systemic disease,Patient w/mild syst disease
P3   ,,A patient with severe systemic disease,Patient w/severe sys disease
P4   ,,A patient with severe systemic disease that is a constant threat to life,Pt w/sev sys dis threat life
P5   ,,A moribund patient who is not expected to survive without the operation,Pt not expect surv w/o oper
P6   ,,A declared brain-dead patient whose organs are being removed for donor purposes,Brain-dead pt organs removed
PA   ,,Surgical or other invasive procedure on wrong body part,"Surgery, wrong body part"
PB   ,,Surgical or other invasive procedure on wrong patient,"Surgery, wrong patient"
PC   ,,Wrong surgery or other invasive procedure on patient,Wrong surgery on patient
PD   ,,Diagnostic or related non diagnostic item or service provided in a wholly owned or operated entity to a patient who is admitted as an inpatient within 3 days,Inp admit w/in 3 days
PI   ,,Positron emission tomography (pet) or pet/computed tomography (ct) to inform the initial treatment strategy of tumors that are biopsy proven or strongly suspected of being cancerous based on other diagnostic testing,Pet tumor init tx strat
PL   ,,Progressive addition lenses,Progressive addition lenses
PM   ,,Post mortem,Post mortem
PN   ,,"Non-excepted service provided at an off-campus, outpatient, provider-based department of a hospital",Non-excepted off-campus svc
PO   ,,"Excepted service provided at an off-campus, outpatient, provider-based department of a hospital",Excepted off-campus service
PS   ,,Positron emission tomography (pet) or pet/computed tomography (ct) to inform the subsequent treatment strategy of cancerous tumors when the beneficiary's treating physician determines that the pet study is needed to inform subsequent anti-tumor strategy,Pet tumor subsq tx strategy
PT   ,,Colorectal cancer screening test; converted to diagnostic test or other procedure,Clrctal screen to diagn
Q0   ,,Investigational clinical service provided in a clinical research study that is in an approved clinical research study,Invest clinical research
Q1   ,,Routine clinical service provided in a clinical research study that is in an approved clinical research study,Routine clinical research
Q2   ,,Demonstration procedure/service,"Demo procedure, service"
Q3   ,,Live kidney donor surgery and related services,Live donor surgery/services
Q4   ,,Service for ordering/referring physician qualifies as a service exemption,Svc exempt - ordrg/rfrng md
Q5   ,,"Service furnished under a reciprocal billing arrangement by a substitute physician or by a substitute physical therapist furnishing outpatient physical therapy services in a health professional shortage area, a medically underserved area, or a rural area",Recip bill arr subs md or pt
Q6   ,,"Service furnished under a fee-for-time compensation arrangement by a substitute physician or by a substitute physical therapist furnishing outpatient physical therapy services in a health professional shortage area, a medically underserved area, or a rural area",Fee/time comp subst md or pt
Q7   ,,One class a finding,One class a finding
Q8   ,,Two class b findings,Two class b findings
Q9   ,,One class b and two class c findings,1 class b & 2 class c fndngs
QA   ,,Prescribed amounts of stationary oxygen for daytime use while at rest and nighttime use differ and the average of the two amounts is less than 1 liter per minute (lpm),Avg sta day/night o2 < 1 lpm
QB   ,,Prescribed amounts of stationary oxygen for daytime use while at rest and nighttime use differ and the average of the two amounts exceeds 4 liters per minute (lpm) and portable oxygen is prescribed,Avg day/nite o2 > 4 lpm/port
QC   ,,Single channel monitoring,Single channel monitoring
QD   ,,Recording and storage in solid state memory by a digital recorder,Rcrdg/strg in sld st memory
QE   ,,Prescribed amount of stationary oxygen while at rest is less than 1 liter per minute (lpm),Stationary o2 @ rest <1 lpm
QF   ,,Prescribed amount of stationary oxygen while at rest exceeds 4 liters per minute (lpm) and portable oxygen is prescribed,Station o2 @ rest >4lpm/port
QG   ,,Prescribed amount of stationary oxygen while at rest is greater than 4 liters per minute (lpm),Station o2 @ rest > 4 lpm
QH   ,,Oxygen conserving device is being used with an oxygen delivery system,Oxygen cnsrvg dvc w del sys
QJ   ,,"Services/items provided to a prisoner or patient in state or local custody, however the state or local government, as applicable, meets the requirements in 42 cfr 411.4 (b)",Patient in state/locl custod
QK   ,,"Medical direction of two, three, or four concurrent anesthesia procedures involving qualified individuals",Med dir 2-4 cncrnt anes proc
QL   ,,Patient pronounced dead after ambulance called,Patient died after amb call
QM   ,,Ambulance service provided under arrangement by a provider of services,Ambulance arr by provider
QN   ,,Ambulance service furnished directly by a provider of services,Ambulance furn by provider
QP   ,,"Documentation is on file showing that the laboratory test(s) was ordered individually or ordered as a cpt-recognized panel other than automated profile codes 80002-80019, g0058, g0059, and g0060.",Individually ordered lab tst
QQ   ,,Ordering professional consulted a qualified clinical decision support mechanism for this service and the related data was provided to the furnishing professional,Qualified cdsm consulted
QR   ,,Prescribed amounts of stationary oxygen for daytime use while at rest and nighttime use differ and the average of the two amounts is greater than 4 liters per minute (lpm),Avg sta day/night o2 > 4 lpm
QS   ,,Monitored anesthesia care service,Monitored anesthesia care
QT   ,,Recording and storage on tape by an analog tape recorder,Rcrdg/strg tape analog recdr
QW   ,,Clia waived test,Clia waived test
QX   ,,Crna service: with medical direction by a physician,Crna svc w/ md med direction
QY   ,,Medical direction of one certified registered nurse anesthetist (crna) by an anesthesiologist,Medically directed crna
QZ   ,,Crna service: without medical direction by a physician,Crna svc w/o med dir by md
RA   ,,"Replacement of a dme, orthotic or prosthetic item",Replacement of dme item
RB   ,,"Replacement of a part of a dme, orthotic or prosthetic item furnished as part of a repair","Replacement part, dme item"
RC   ,,Right coronary artery,Right coronary artery
RD   ,,"Drug provided to beneficiary, but not administered ""incident-to""",Drug admin not incident-to
RE   ,,Furnished in full compliance with fda-mandated risk evaluation and mitigation strategy (rems),Furnish full compliance rems
RI   ,,Ramus intermedius coronary artery,Ramus intermedius cor artery
RR   ,,Rental (use the 'rr' modifier when dme is to be rented),Rental (dme)
RT   ,,Right side (used to identify procedures performed on the right side of the body),Right side
SA   ,,Nurse practitioner rendering service in collaboration with a physician,Nurse practitioner w physici
SB   ,,Nurse midwife,Nurse midwife
SC   ,,Medically necessary service or supply,Medically necessary serv/sup
SD   ,,"Services provided by registered nurse with specialized, highly technical home infusion training",Serv by home infusion rn
SE   ,,State and/or federally-funded programs/services,State/fed funded program/ser
SF   ,,"Second opinion ordered by a professional review organization (pro) per section 9401, p.l. 99-272 (100% reimbursement - no medicare deductible or coinsurance)",2nd opinion ordered by pro
SG   ,,Ambulatory surgical center (asc) facility service,Asc facility service
SH   ,,Second concurrently administered infusion therapy,2nd concurrent infusion ther
SJ   ,,Third or more concurrently administered infusion therapy,3rd concurrent infusion ther
SK   ,,Member of high risk population (use only with codes for immunization),High risk population
SL   ,,State supplied vaccine,State supplied vaccine
SM   ,,Second surgical opinion,Second opinion
SN   ,,Third surgical opinion,Third opinion
SQ   ,,Item ordered by home health,Item ordered by home health
SS   ,,Home infusion services provided in the infusion suite of the iv therapy provider,Hit in infusion suite
ST   ,,Related to trauma or injury,Related to trauma or injury
SU   ,,Procedure performed in physician's office (to denote use of facility and equipment),Performed in phys office
SV   ,,Pharmaceuticals delivered to patient's home but not utilized,Drugs delivered not used
SW   ,,Services provided by a certified diabetic educator,Serv by cert diab educator
SY   ,,Persons who are in close contact with member of high-risk population (use only with codes for immunization),Contact w/high-risk pop
SZ   ,,Habilitative services,Habilitative services
T1   ,,"Left foot, second digit","Left foot, second digit"
T2   ,,"Left foot, third digit","Left foot, third digit"
T3   ,,"Left foot, fourth digit","Left foot, fourth digit"
T4   ,,"Left foot, fifth digit","Left foot, fifth digit"
T5   ,,"Right foot, great toe","Right foot, great toe"
T6   ,,"Right foot, second digit","Right foot, second digit"
T7   ,,"Right foot, third digit","Right foot, third digit"
T8   ,,"Right foot, fourth digit","Right foot, fourth digit"
T9   ,,"Right foot, fifth digit","Right foot, fifth digit"
TA   ,,"Left foot, great toe","Left foot, great toe"
TB   ,,"Drug or biological acquired with 340b drug pricing program discount, reported for informational purposes",Tracking 340b acquired drug
TC   ,,"Technical component; under certain circumstances, a charge may be made for the technical component alone;under those circumstances the technical component charge is identified by adding modifier 'tc' to the usual procedure number; technical component charges are institutional charges and not billed separately by physicians; however, portable x-ray suppliers only bill for technical component and should utilize modifier tc; the charge data from portable x-ray suppliers will then be used to build customary and prevailing profiles",Technical component
TD   ,,Rn,Rn
TE   ,,Lpn/lvn,Lpn/lvn
TF   ,,Intermediate level of care,Intermediate level of care
TG   ,,Complex/high tech level of care,Complex/high tech level care
C9462,,"Injection, delafloxacin, 1 mg","Injection, delafloxacin"
TH   ,,"Obstetrical treatment/services, prenatal or postpartum",Ob tx/srvcs prenatl/postpart
TJ   ,,"Program group, child and/or adolescent",Child/adolescent program gp
TK   ,,"Extra patient or passenger, non-ambulance",Extra patient or passenger
TL   ,,Early intervention/individualized family service plan (ifsp),Early intervention ifsp
TM   ,,Individualized education program (iep),Individualized ed prgrm(iep)
TN   ,,Rural/outside providers' customary service area,Rural/out of service area
TP   ,,"Medical transport, unloaded vehicle",Med transprt unloaded vehicl
TQ   ,,Basic life support transport by a volunteer ambulance provider,Bls by volunteer amb providr
TR   ,,School-based individualized education program (iep) services provided outside the public school district responsible for the student,School-based iep out of dist
TS   ,,Follow-up service,Follow-up service
TT   ,,Individualized service provided to more than one patient in same setting,Additional patient
TU   ,,"Special payment rate, overtime",Overtime payment rate
TV   ,,"Special payment rates, holidays/weekends",Holiday/weekend payment rate
TW   ,,Back-up equipment,Back-up equipment
U1   ,,"Medicaid level of care 1, as defined by each state",M/caid care lev 1 state def
U2   ,,"Medicaid level of care 2, as defined by each state",M/caid care lev 2 state def
U3   ,,"Medicaid level of care 3, as defined by each state",M/caid care lev 3 state def
U4   ,,"Medicaid level of care 4, as defined by each state",M/caid care lev 4 state def
U5   ,,"Medicaid level of care 5, as defined by each state",M/caid care lev 5 state def
U6   ,,"Medicaid level of care 6, as defined by each state",M/caid care lev 6 state def
U7   ,,"Medicaid level of care 7, as defined by each state",M/caid care lev 7 state def
U8   ,,"Medicaid level of care 8, as defined by each state",M/caid care lev 8 state def
U9   ,,"Medicaid level of care 9, as defined by each state",M/caid care lev 9 state def
UA   ,,"Medicaid level of care 10, as defined by each state",M/caid care lev 10 state def
UB   ,,"Medicaid level of care 11, as defined by each state",M/caid care lev 11 state def
UC   ,,"Medicaid level of care 12, as defined by each state",M/caid care lev 12 state def
UD   ,,"Medicaid level of care 13, as defined by each state",M/caid care lev 13 state def
UE   ,,Used durable medical equipment,Used durable med equipment
UF   ,,Services provided in the morning,"Services provided, morning"
UG   ,,Services provided in the afternoon,"Services provided, afternoon"
UH   ,,Services provided in the evening,"Services provided, evening"
UJ   ,,Services provided at night,"Services provided, night"
UK   ,,Services provided on behalf of the client to someone other than the client (collateral relationship),Svc on behalf client-collat
UN   ,,Two patients served,Two patients served
UP   ,,Three patients served,Three patients served
UQ   ,,Four patients served,Four patients served
UR   ,,Five patients served,Five patients served
US   ,,Six or more patients served,Six or more patients served
V1   ,,Demonstration modifier 1,Demonstration modifier 1
V2   ,,Demonstration modifier 2,Demonstration modifier 2
V3   ,,Demonstration modifier 3,Demonstration modifier 3
V5   ,,Vascular catheter (alone or with any other vascular access),Vascular catheter
V6   ,,Arteriovenous graft (or other vascular access not including a vascular catheter),Arteriovenous graft
V7   ,,Arteriovenous fistula only (in use with two needles),Arteriovenous fistula
V8   ,,Infection present,Infection present
V9   ,,No infection present,No infection present
VM   ,,Medicare diabetes prevention program (mdpp) virtual make-up session,Mdpp virtual make-up session
